# reward.lua 的标准反汇编锚点：位置 -> 标准 opcode（编号 名称）
# = reward.vmmod.luac 逐指令把魔改 opcode 换回标准号（操作不变）。walk 顺序同 check.go。
# pos  op  name
  0  10  NEWTABLE
  1  36  CLOSURE
  2   9  SETTABLE
  3  30  RETURN
  4  30  RETURN
  5  10  NEWTABLE
  6   1  LOADK
  7   0  MOVE
  8   1  LOADK
  9  32  FORPREP
 10   6  GETTABLE
 11   1  LOADK
 12   1  LOADK
 13  20  LEN
 14   1  LOADK
 15  32  FORPREP
 16   6  GETTABLE
 17   6  GETTABLE
 18  14  MUL
 19  24  LT
 20  22  JMP
 21   0  MOVE
 22   0  MOVE
 23  31  FORLOOP
 24   6  GETTABLE
 25   9  SETTABLE
 26  31  FORLOOP
 27  30  RETURN
 28  30  RETURN
